date,action,price,shares,gross_amount,commission,stamp_tax,net_amount,pnl,return_pct,cash_after
2022-09-02,SELL,6.12,35600,217872.0,65.36,217.87,217588.77,-3197.45,-1.45,218158.43
2022-09-08,BUY,6.35,34300,217805.0,65.34,0.0,-217870.34,,,288.09
2022-09-16,SELL,5.85,34300,200655.0,60.2,200.66,200394.15,-17476.19,-8.02,200682.24
2022-10-17,BUY,5.25,38200,200550.0,60.16,0.0,-200610.16,,,72.07
2022-10-24,SELL,5.18,38200,197876.0,59.36,197.88,197618.76,-2991.4,-1.49,197690.83
2022-11-08,BUY,5.2,38000,197600.0,59.28,0.0,-197659.28,,,31.55
2022-11-24,SELL,5.08,38000,193040.0,57.91,193.04,192789.05,-4870.23,-2.46,192820.6
2022-11-28,BUY,5.5,35000,192500.0,57.75,0.0,-192557.75,,,262.85
2022-12-09,SELL,5.57,35000,194950.0,58.48,194.95,194696.56,2138.82,1.11,194959.42
2023-01-10,BUY,5.14,37900,194806.0,58.44,0.0,-194864.44,,,94.98
2023-01-20,SELL,5.13,37900,194427.0,58.33,194.43,194174.24,-690.2,-0.35,194269.22
2023-02-03,BUY,5.32,36500,194180.0,58.25,0.0,-194238.25,,,30.97
2023-02-10,SELL,5.23,36500,190895.0,57.27,190.9,190646.84,-3591.42,-1.85,190677.8
2023-02-24,BUY,5.31,35800,190098.0,57.03,0.0,-190155.03,,,522.77
2023-03-03,SELL,5.18,35800,185444.0,55.63,185.44,185202.92,-4952.11,-2.6,185725.7
2023-03-29,BUY,4.84,38300,185372.0,55.61,0.0,-185427.61,,,298.08
2023-04-06,SELL,4.8,38300,183840.0,55.15,183.84,183601.01,-1826.6,-0.99,183899.09
2023-04-19,BUY,4.8,38300,183840.0,55.15,0.0,-183895.15,,,3.94
2023-04-24,SELL,4.54,38300,173882.0,52.16,173.88,173655.95,-10239.2,-5.57,173659.89
2023-05-09,BUY,4.61,37600,173336.0,52.0,0.0,-173388.0,,,271.89
2023-05-25,SELL,4.54,37600,170704.0,51.21,170.7,170482.08,-2905.92,-1.68,170753.98
2023-06-20,BUY,4.38,38900,170382.0,51.11,0.0,-170433.11,,,320.86
2023-06-27,SELL,4.29,38900,166881.0,50.06,166.88,166664.05,-3769.06,-2.21,166984.92
2023-06-29,BUY,4.94,33700,166478.0,49.94,0.0,-166527.94,,,456.97
2023-07-17,SELL,4.56,33700,153672.0,46.1,153.67,153472.23,-13055.72,-7.84,153929.2
2023-07-31,BUY,4.63,33200,153716.0,46.11,0.0,-153762.11,,,167.09
2023-08-09,SELL,4.5,33200,149400.0,44.82,149.4,149205.78,-4556.33,-2.96,149372.87
2023-09-05,BUY,4.52,33000,149160.0,44.75,0.0,-149204.75,,,168.12
2023-09-14,SELL,4.44,33000,146520.0,43.96,146.52,146329.52,-2875.22,-1.93,146497.64
2023-09-19,BUY,4.55,32100,146055.0,43.82,0.0,-146098.82,,,398.83
2023-09-26,SELL,4.33,32100,138993.0,41.7,138.99,138812.31,-7286.51,-4.99,139211.13
2023-10-17,BUY,4.39,31700,139163.0,41.75,0.0,-139204.75,,,6.39
2023-10-20,SELL,4.19,31700,132823.0,39.85,132.82,132650.33,-6554.42,-4.71,132656.72
2023-11-01,BUY,4.21,31500,132615.0,39.78,0.0,-132654.78,,,1.93
2023-11-23,SELL,4.34,31500,136710.0,41.01,136.71,136532.28,3877.49,2.92,136534.21
2023-11-28,BUY,4.42,30800,136136.0,40.84,0.0,-136176.84,,,357.37
2023-12-04,SELL,4.39,30800,135212.0,40.56,135.21,135036.22,-1140.62,-0.84,135393.59
2023-12-14,BUY,4.42,30600,135252.0,40.58,0.0,-135292.58,,,101.02
2023-12-25,SELL,4.18,30600,127908.0,38.37,127.91,127741.72,-7550.86,-5.58,127842.74
2024-01-05,BUY,4.34,29400,127596.0,38.28,0.0,-127634.28,,,208.46
2024-01-12,SELL,4.03,29400,118482.0,35.54,118.48,118327.97,-9306.31,-7.29,118536.43
2024-01-31,BUY,4.01,29500,118295.0,35.49,0.0,-118330.49,,,205.94
2024-02-06,SELL,2.95,29500,87025.0,26.11,87.02,86911.87,-31418.62,-26.55,87117.81
2024-02-23,BUY,3.64,23900,86996.0,26.1,0.0,-87022.1,,,95.71
2024-03-12,SELL,3.6,23900,86040.0,25.81,86.04,85928.15,-1093.95,-1.26,86023.86
2024-03-13,BUY,3.61,23800,85918.0,25.78,0.0,-85943.78,,,80.08
2024-03-14,SELL,3.58,23800,85204.0,25.56,85.2,85093.23,-850.54,-0.99,85173.32
2024-03-20,BUY,3.69,23000,84870.0,25.46,0.0,-84895.46,,,277.86
2024-03-28,SELL,3.44,23000,79120.0,23.74,79.12,79017.14,-5878.32,-6.92,79295.0
2024-04-08,BUY,3.79,20900,79211.0,23.76,0.0,-79234.76,,,60.24
2024-04-17,SELL,3.4,20900,71060.0,21.32,71.06,70967.62,-8267.14,-10.43,71027.86
2024-05-07,BUY,3.65,19400,70810.0,21.24,0.0,-70831.24,,,196.62
2024-05-17,SELL,3.59,19400,69646.0,20.89,69.65,69555.46,-1275.78,-1.8,69752.08
