file_name,code,start_date,end_date,initial_cash,final_equity,total_return_pct,trade_count,win_rate_pct,avg_pnl,avg_return_pct,max_drawdown_pct
sz.300501.csv,sz.300501,2021-02-18,2026-03-16,100000.0,128351.94,28.35,63,41.27,409.77,0.56,-34.22
sz.002155.csv,sz.002155,2020-01-02,2026-03-16,100000.0,128341.04,28.34,87,40.23,325.76,0.94,-46.81
sz.300542.csv,sz.300542,2021-02-18,2026-03-16,100000.0,128239.61,28.24,69,37.68,409.27,1.39,-60.3
sh.603130.csv,sh.603130,2022-11-18,2026-03-16,100000.0,128221.2,28.22,43,32.56,656.31,1.1,-53.14
sh.688449.csv,sh.688449,2024-11-29,2026-03-16,100000.0,128191.37,28.19,15,40.0,1276.73,1.76,-27.02
sz.002197.csv,sz.002197,2020-01-02,2026-03-16,100000.0,128120.14,28.12,80,32.5,442.01,0.87,-47.74
sh.600527.csv,sh.600527,2020-01-02,2026-03-16,100000.0,128106.55,28.11,84,38.1,253.03,0.4,-49.49
sz.002453.csv,sz.002453,2020-01-02,2026-03-16,100000.0,128103.78,28.1,83,42.17,401.13,0.77,-51.86
sh.601601.csv,sh.601601,2020-01-02,2026-03-16,100000.0,128063.45,28.06,78,34.62,359.79,0.55,-38.02
sz.002284.csv,sz.002284,2020-01-02,2026-03-16,100000.0,128061.2,28.06,83,31.33,338.09,0.75,-39.47
sz.301511.csv,sz.301511,2023-08-17,2026-03-16,100000.0,127988.29,27.99,31,41.94,777.04,1.27,-56.58
sz.000977.csv,sz.000977,2020-01-02,2026-03-16,100000.0,127972.94,27.97,80,40.0,388.21,0.7,-52.01
sh.603976.csv,sh.603976,2020-01-02,2026-03-16,100000.0,127970.8,27.97,89,38.2,326.04,1.04,-78.47
sz.001965.csv,sz.001965,2020-01-02,2026-03-16,100000.0,127861.92,27.86,75,42.67,259.54,0.32,-22.82
sz.300395.csv,sz.300395,2021-02-18,2026-03-16,100000.0,127849.95,27.85,69,33.33,403.62,0.86,-47.29
sz.002031.csv,sz.002031,2020-01-02,2026-03-16,100000.0,127725.97,27.73,85,30.59,326.19,1.13,-60.13
sz.300385.csv,sz.300385,2021-02-18,2026-03-16,100000.0,127568.21,27.57,61,40.98,465.42,0.8,-49.23
sh.600506.csv,sh.600506,2020-01-02,2026-03-16,100000.0,127468.97,27.47,84,40.48,327.01,0.67,-45.57
sh.603615.csv,sh.603615,2020-01-02,2026-03-16,100000.0,127431.96,27.43,76,44.74,360.95,0.66,-55.22
sz.002850.csv,sz.002850,2020-01-02,2026-03-16,100000.0,127420.17,27.42,73,31.51,407.25,0.97,-48.67
sz.300315.csv,sz.300315,2020-01-02,2026-03-16,100000.0,127371.05,27.37,84,36.9,334.91,0.55,-42.09
sz.300401.csv,sz.300401,2021-02-18,2026-03-16,100000.0,127369.49,27.37,66,36.36,414.69,0.58,-39.42
sz.301348.csv,sz.301348,2023-08-10,2026-03-16,100000.0,127212.34,27.21,32,43.75,564.1,0.96,-45.59
sz.002605.csv,sz.002605,2020-01-02,2026-03-16,100000.0,127131.46,27.13,81,38.27,334.96,1.09,-54.01
sz.002215.csv,sz.002215,2020-01-02,2026-03-16,100000.0,127118.13,27.12,84,35.71,322.83,0.58,-51.14
sz.002873.csv,sz.002873,2020-01-02,2026-03-16,100000.0,127085.03,27.09,88,29.55,319.22,0.7,-57.26
sz.300632.csv,sz.300632,2021-02-18,2026-03-16,100000.0,127018.27,27.02,65,47.69,339.27,0.53,-32.76
sh.601728.csv,sh.601728,2021-08-20,2026-03-16,100000.0,127001.79,27.0,54,42.59,408.71,0.48,-30.08
sh.600238.csv,sh.600238,2020-01-02,2026-03-16,100000.0,127000.04,27.0,78,39.74,305.53,1.07,-60.11
sz.300984.csv,sz.300984,2021-06-18,2026-03-16,100000.0,126990.31,26.99,70,31.43,385.58,0.96,-63.84
sz.300400.csv,sz.300400,2021-02-18,2026-03-16,100000.0,126968.15,26.97,66,45.45,329.8,0.85,-51.37
sh.688328.csv,sh.688328,2021-03-09,2026-03-16,100000.0,126958.85,26.96,63,38.1,258.47,0.72,-57.34
sh.603192.csv,sh.603192,2020-01-02,2026-03-16,100000.0,126910.17,26.91,84,41.67,320.36,0.72,-54.92
sz.300131.csv,sz.300131,2020-01-02,2026-03-16,100000.0,126840.59,26.84,86,38.37,347.34,0.84,-60.38
sz.300153.csv,sz.300153,2020-01-02,2026-03-16,100000.0,126823.71,26.82,90,36.67,298.04,1.2,-61.29
sz.002971.csv,sz.002971,2020-01-13,2026-03-16,100000.0,126770.86,26.77,77,40.26,347.67,0.79,-39.09
sz.002169.csv,sz.002169,2020-01-02,2026-03-16,100000.0,126764.17,26.76,82,39.02,342.47,0.82,-59.56
sz.002647.csv,sz.002647,2020-01-02,2026-03-16,100000.0,126729.97,26.73,78,30.77,342.69,1.11,-67.59
sz.300441.csv,sz.300441,2021-02-18,2026-03-16,100000.0,126677.1,26.68,70,48.57,393.29,0.55,-28.45
sz.300332.csv,sz.300332,2020-01-02,2026-03-16,100000.0,126562.14,26.56,82,40.24,323.93,0.5,-56.79
sz.300643.csv,sz.300643,2021-02-18,2026-03-16,100000.0,126556.48,26.56,62,33.87,227.75,0.72,-50.98
sz.002004.csv,sz.002004,2020-01-02,2026-03-16,100000.0,126405.25,26.41,78,35.9,362.4,0.58,-35.66
